7.060130 51.203899 32.638664 75.330875 51.516710 14.146743 25.429456 98.188834 97.565621 67.371582 
51.203899 63.722748 96.360718 34.857470 30.871886 57.760482 43.889582 31.133599 13.512632 33.641129 
32.638664 96.360718 20.477546 61.532350 33.699329 33.679334 48.624749 63.625628 69.726609 95.938577 
75.330875 34.857470 61.532350 62.653646 53.633456 40.179719 42.404384 60.693586 91.383618 75.043047 
51.516710 30.871886 33.699329 53.633456 36.024461 42.900327 89.189790 61.453917 41.089161 86.755411 
14.146743 57.760482 33.679334 40.179719 42.900327 28.825499 4.811909 83.116129 63.682968 35.683795 
25.429456 43.889582 48.624749 42.404384 89.189790 4.811909 40.876611 7.572550 66.817394 54.389243 
98.188834 31.133599 63.625628 60.693586 61.453917 83.116129 7.572550 41.213679 87.294940 15.921593 
97.565621 13.512632 69.726609 91.383618 41.089161 63.682968 66.817394 87.294940 74.913008 20.974274 
67.371582 33.641129 95.938577 75.043047 86.755411 35.683795 54.389243 15.921593 20.974274 64.546341 
