11.752799 7.482717 25.207747 17.358121 97.558232 73.885110 59.331867 64.964421 81.527566 92.414243 88.126712 70.444519 76.735971 4.369807 73.359278 5.883358 27.360162 98.093824 87.394993 80.194798 
7.482717 40.616758 41.687670 32.097533 69.943826 52.628757 19.943247 95.401269 68.816846 42.803054 16.258102 50.723246 54.555854 23.740820 75.930993 71.913975 21.299051 49.816103 31.245841 86.263473 
25.207747 41.687670 31.343669 23.660084 74.390184 1.788188 0.396055 78.759992 75.147466 6.279412 6.120154 73.241290 93.674405 86.314952 13.858048 35.362075 18.412485 83.801874 87.990832 38.355732 
17.358121 32.097533 23.660084 79.203143 56.807678 81.158787 95.461245 7.530925 35.714641 19.202065 83.461918 7.628615 40.501116 33.278021 38.874457 26.764589 64.621690 62.534540 1.154773 66.409878 
97.558232 69.943826 74.390184 56.807678 62.930595 79.914765 41.557344 69.210008 86.034918 14.798634 62.884413 72.349870 28.656682 98.246488 90.762356 12.458556 86.237320 29.118088 91.661699 43.044998 
73.885110 52.628757 1.788188 81.158787 79.914765 10.276875 87.122944 50.575923 45.991516 6.325008 34.037841 53.620131 46.826124 67.315862 92.494588 73.590713 31.937552 55.029128 74.745486 98.347430 
59.331867 19.943247 0.396055 95.461245 41.557344 87.122944 17.959723 54.660251 39.904774 87.169731 40.695169 54.703407 50.054144 13.045039 83.360089 48.300632 3.807395 95.818645 34.537952 32.925483 
64.964421 95.401269 78.759992 7.530925 69.210008 50.575923 54.660251 87.480344 77.582951 43.202358 74.603287 28.158874 89.193874 80.928296 62.196714 42.814005 27.754420 29.512576 35.308592 1.345133 
81.527566 68.816846 75.147466 35.714641 86.034918 45.991516 39.904774 77.582951 61.450128 90.337721 76.090619 59.797558 8.297444 30.750870 99.702331 95.467175 71.446039 54.405739 45.521319 84.491078 
92.414243 42.803054 6.279412 19.202065 14.798634 6.325008 87.169731 43.202358 90.337721 37.765828 93.821952 88.298473 33.584473 28.359904 21.223956 21.064817 5.942855 64.426314 95.668104 34.101728 
